SO,n,perc
npj climate and atmospheric science,64,0.029457114583573057
nuclear data sheets,64,0.029457114583573057
american journal of health system pharmacy,63,0.028996847168204724
bulletin of volcanology,63,0.028996847168204724
cutis,63,0.028996847168204724
fire,63,0.028996847168204724
frontiers in chemistry,63,0.028996847168204724
hypertension,63,0.028996847168204724
industrial crops and products,63,0.028996847168204724
mrs communications,63,0.028996847168204724
nanotechnology,63,0.028996847168204724
planetary and space science,63,0.028996847168204724
ticks and tick borne diseases,63,0.028996847168204724
u s geological survey fact sheet,63,0.028996847168204724
accounts of chemical research,62,0.028536579752836397
american journal of managed care,62,0.028536579752836397
birth defects research,62,0.028536579752836397
bmj military health,62,0.028536579752836397
deep sea research part ii topical studies in oceanography,62,0.028536579752836397
environmental pollution,62,0.028536579752836397
journal of addiction medicine,62,0.028536579752836397
progress in nuclear energy,62,0.028536579752836397
quantum,62,0.028536579752836397
clinical gerontologist,61,0.02807631233746807
geosphere,61,0.02807631233746807
journal of magnetism and magnetic materials,61,0.02807631233746807
journal of money credit and banking,61,0.02807631233746807
journal of substance abuse treatment,61,0.02807631233746807
journal of the international aids society,61,0.02807631233746807
nano energy,61,0.02807631233746807
nature microbiology,61,0.02807631233746807
nuclear instruments and methods in physics research section b beam interactions with materials and atoms,61,0.02807631233746807
synchrotron radiation news,61,0.02807631233746807
applied thermal engineering,60,0.02761604492209974
current developments in nutrition,60,0.02761604492209974
dalton transactions,60,0.02761604492209974
energy policy,60,0.02761604492209974
environmental science and technology letters,60,0.02761604492209974
journal of applied ecology,60,0.02761604492209974
journal of energy storage,60,0.02761604492209974
journal of hazardous materials,60,0.02761604492209974
land,60,0.02761604492209974
marine pollution bulletin,60,0.02761604492209974
